eval	set_ratio	sort_ratio	ratio	overlap	soundex	score	max	reverse	x_name	y_name	x_id	y_id
1	100	100	100	1	1	302	302	0	enigma	enigma	116	1445
1	100	100	100	1	1	302	302	0	simon & garfunkel	simon & garfunkel	129	4238
1	100	100	100	1	1	302	302	0	the temptations	the temptations	132	4652
1	100	100	100	1	1	302	302	0	annie lennox	annie lennox	136	200
1	100	100	50	1	0	251	251	1	annie lennox	lennox annie	136	2714
1	100	100	100	1	1	302	302	0	billy joel	billy joel	138	458
1	100	100	100	1	1	302	302	0	cline dion	cline dion	139	959
1	100	61	57	.40000001	0	218.39999	218.39999	0	cline dion	cline dion & the bee gees	139	960
1	100	100	100	1	1	302	302	0	eurythmics	eurythmics	141	1479
1	100	100	100	1	1	302	302	0	george michael	george michael	142	1769
1	100	64	64	.46666667	1	229.46666	229.46666	0	george michael	george michael with elton john	142	1770
1	100	100	50	1	0	251	251	1	gloria estefan	estefan gloria	143	1471
1	100	100	58	1	0	259	259	1	phil collins	collins phil	151	874
1	100	100	100	1	1	302	302	0	phil collins	phil collins	151	3639
1	100	100	100	1	1	302	302	0	prince	prince	153	3730
1	100	100	100	1	1	302	302	0	savage garden	savage garden	155	4060
1	100	100	100	1	1	302	302	0	bryan adams	bryan adams	156	630
1	100	100	73	1	0	274	274	1	the cranberries	cranberries the	158	914
1	100	100	100	1	1	302	302	0	the cranberries	the cranberries	158	4588
1	100	100	100	1	1	302	302	0	2pac	2pac	163	14
1	100	100	100	1	1	302	302	0	ice cube	ice cube	166	2118
1	100	63	56	.38461539	0	219.38461	219.38461	0	jay z	drake & jay z	167	1322
1	100	100	80	1	1	282	282	1	jay z	jay-z	167	2254
1	100	100	100	1	1	302	302	0	foo fighters	foo fighters	176	1632
1	100	74	69	.52631581	0	243.52632	243.52632	0	snoop dogg	dr dre & snoop dogg	177	1312
1	100	53	48	.3125	0	201.3125	201.3125	0	snoop dogg	dr dre & snoop doggy & nate dogg	177	1313
1	100	100	100	1	1	302	302	0	snoop dogg	snoop dogg	177	4297
1	100	47	43	.27027026	0	190.27026	190.27026	0	snoop dogg	snoop dogg & khalifa wiz & mars bruno	177	4298
1	100	100	100	1	1	302	302	0	the sugarhill gang	the sugarhill gang	178	4650
1	100	100	100	1	1	302	302	0	shaggy	shaggy	179	4176
1	100	71	63	.46153846	0	234.46153	234.46153	0	shaggy	shaggy & akon	179	4177
1	100	71	63	.46153846	0	234.46153	234.46153	0	shaggy	shaggy & akon	179	4178
1	100	100	100	1	1	302	302	0	alice cooper	alice cooper	182	116
1	100	100	100	1	1	302	302	0	boston	boston	183	570
1	100	100	58	1	0	259	259	1	jimi hendrix	hendrix jimi	184	2004
1	100	100	100	1	1	302	302	0	jimi hendrix	jimi hendrix	184	2288
1	100	100	100	1	1	302	302	0	kansas	kansas	186	2411
1	100	100	100	1	1	302	302	0	marilyn manson	marilyn manson	187	2929
1	100	100	100	1	1	302	302	0	ozzy osbourne	ozzy osbourne	188	3517
1	100	100	100	1	1	302	302	0	pearl jam	pearl jam	190	3590
1	100	100	100	1	1	302	302	0	pink floyd	pink floyd	191	3656
1	100	100	100	1	1	302	302	0	queen	queen	192	3779
1	100	100	91	.83333331	1	292.83334	292.83334	0	queen	queen+	192	3783
1	100	100	56	1	0	257	257	1	tom petty	petty tom	196	3628
1	100	100	100	1	1	302	302	0	u2	u2	197	4821
1	100	100	100	1	1	302	302	0	sade	sade	198	4006
1	100	100	55	1	0	256	256	1	sheryl crow	crow sheryl	199	929
1	100	100	100	1	1	302	302	0	sinad oconnor	sinad oconnor	200	4259
1	100	100	100	1	1	302	302	0	hans zimmer	hans zimmer	202	1935
1	100	85	79	.64705884	0	264.64706	264.64706	0	hans zimmer	ost & hans zimmer	202	3480
1	100	63	43	.42307693	0	206.42308	206.42308	0	hans zimmer	ost & zimmer hans composer	202	3495
1	100	100	55	1	0	256	256	1	hans zimmer	zimmer hans	202	5165
1	100	100	100	1	1	302	302	0	snap	snap	213	4295
1	100	100	100	1	1	302	302	0	snap	snap	213	4296
1	100	100	100	1	1	302	302	0	toni braxton	toni braxton	214	4743
1	100	100	100	1	1	302	302	0	carly simon	carly simon	227	723
1	100	100	100	1	1	302	302	0	cyndi lauper	cyndi lauper	231	954
1	100	100	100	1	1	302	302	0	dire straits	dire straits	233	1198
1	100	63	60	.42857143	1	224.42857	224.42857	0	dire straits	dire straits & knopfler mark	233	1199
1	100	100	100	1	1	302	302	0	elton john	elton john	236	1414
1	100	100	100	1	1	302	302	0	creed	creed	237	918
1	100	100	81	1	0	282	282	1	the chemical brothers	chemical brothers the	242	778
1	100	100	100	1	1	302	302	0	the chemical brothers	the chemical brothers	242	4585
1	100	100	100	1	1	302	302	0	disturbed	disturbed	244	1212
1	100	100	100	1	1	302	302	0	pixies	pixies	249	3676
1	100	100	100	1	1	302	302	0	limp bizkit	limp bizkit	251	2757
1	100	69	65	.47826087	0	234.47826	234.47826	0	limp bizkit	limp bizkit & lil wayne	251	2758
1	100	100	100	1	1	302	302	0	def leppard	def leppard	253	1076
1	100	100	100	1	1	302	302	0	fatboy slim	fatboy slim	255	1530
1	100	100	100	1	1	302	302	0	atb	atb	259	257
1	100	100	100	1	1	302	302	0	eiffel 65	eiffel 65	284	1385
1	100	100	100	1	1	302	302	0	chris cornell	chris cornell	296	794
1	100	100	54	1	0	255	255	1	chris cornell	cornell chris	296	901
1	100	100	100	1	1	302	302	0	fleetwood mac	fleetwood mac	299	1582
1	100	100	64	1	0	265	265	1	the beatles	beatles the	303	375
1	100	100	100	1	1	302	302	0	the beatles	the beatles	303	4578
1	100	100	100	1	1	302	302	0	modern talking	modern talking	306	3145
1	100	100	100	1	1	302	302	0	cher	cher	311	779
1	100	100	100	1	1	302	302	0	chris isaak	chris isaak	313	796
1	100	100	100	1	1	302	302	0	depeche mode	depeche mode	317	1093
1	100	100	100	1	1	302	302	0	erasure	erasure	318	1453
1	100	100	100	1	1	302	302	0	yves montand	yves montand	345	5141
1	100	100	100	1	1	302	302	0	nine inch nails	nine inch nails	347	3358
1	100	100	100	1	1	302	302	0	whitesnake	whitesnake	348	5020
1	100	100	100	1	1	302	302	0	yes	yes	349	5124
1	100	100	100	1	1	302	302	0	dead or alive	dead or alive	351	1063
1	100	100	100	1	1	302	302	0	korn	korn	352	2585
1	100	80	80	.66666669	1	261.66666	261.66666	0	monty python	monty python sings	356	3175
1	100	100	100	1	1	302	302	0	house of pain	house of pain	357	2077
1	100	100	100	1	1	302	302	0	moby	moby	359	3140
1	100	100	100	1	1	302	302	0	blur	blur	361	519
1	100	100	100	1	1	302	302	0	faith hill	faith hill	363	1501
1	100	100	100	1	1	302	302	0	smash mouth	smash mouth	364	4285
1	100	100	100	1	1	302	302	0	incubus	incubus	365	2157
1	100	79	74	.59090906	0	253.59091	253.59091	0	lenny kravitz	avicii & lenny kravitz	366	281
1	100	100	54	1	0	255	255	1	lenny kravitz	kravitz lenny	366	2599
1	100	100	100	1	1	302	302	0	lenny kravitz	lenny kravitz	366	2715
1	100	100	69	1	0	270	270	1	the offspring	offspring the	368	3418
1	100	100	69	1	0	270	270	1	the offspring	offspring the	368	3419
1	100	100	100	1	1	302	302	0	the offspring	the offspring	368	4624
1	91	91	91	.83333331	1	274.83334	274.83334	0	dr dre	drdre	373	1315
1	100	100	100	1	1	302	302	0	will smith	will smith	375	5041
1	100	100	100	1	1	302	302	0	rage against the machine	rage against the machine	381	3805
1	100	100	100	1	1	302	302	0	aphex twin	aphex twin	383	212
1	100	100	55	1	0	256	256	1	johnny cash	cash johnny	387	732
1	100	100	55	1	0	256	256	1	johnny cash	cash johnny	387	733
1	100	100	100	1	1	302	302	0	johnny cash	johnny cash	387	2319
1	100	100	100	1	1	302	302	0	led zeppelin	led zeppelin	388	2701
1	100	86	80	.66666669	0	266.66666	266.66666	0	led zeppelin	ost & led zeppelin	388	3483
1	100	100	100	1	1	302	302	0	berlin	berlin	393	427
1	100	100	100	1	1	302	302	0	survivor	survivor	396	4483
1	100	100	100	1	1	302	302	0	papa roach	papa roach	400	3543
1	100	100	100	1	1	302	302	0	macy gray	macy gray	404	2873
1	100	100	100	1	1	302	302	0	kraftwerk	kraftwerk	407	2591
1	100	100	56	1	0	257	257	1	the kinks	kinks the	431	2537
1	100	78	74	.58333331	1	253.58333	253.58333	0	andrea bocelli	andrea bocelli & giorgia	443	179
1	100	100	50	1	0	251	251	1	andrea bocelli	bocelli andrea	443	535
1	100	67	64	.46666667	0	231.46666	231.46666	0	andrea bocelli	david garrett & andrea bocelli	443	1023
1	100	100	100	1	1	302	302	0	weezer	weezer	446	4987
1	100	100	100	1	1	302	302	0	aqua	aqua	447	216
1	100	100	100	1	1	302	302	0	no doubt	no doubt	464	3364
1	100	100	100	1	1	302	302	0	aerosmith	aerosmith	481	63
1	100	69	64	.47368422	0	233.47368	233.47368	0	aerosmith	aerosmith & run-dmc	481	64
1	100	100	100	1	1	302	302	0	alice in chains	alice in chains	482	117
1	100	100	100	1	1	302	302	0	backstreet boys	backstreet boys	486	316
1	100	100	100	1	1	302	302	0	ben e king	ben e king	487	405
1	100	100	100	1	1	302	302	0	blondie	blondie	488	504
1	100	100	100	1	1	302	302	0	busta rhymes	busta rhymes	493	658
1	100	67	63	.46153846	1	231.46153	231.46153	0	busta rhymes	busta rhymes & linkin park	493	659
1	100	67	63	.46153846	1	231.46153	231.46153	0	busta rhymes	busta rhymes & linkin park	493	660
1	100	69	65	.47999999	0	234.48	234.48	0	busta rhymes	kat deluna & busta rhymes	493	2439
1	100	100	50	1	0	251	251	1	christina aguilera	aguilera christina	495	74
1	100	100	50	1	0	251	251	1	christina aguilera	aguilera christina	495	75
1	100	100	100	1	1	302	302	0	christina aguilera	christina aguilera	495	807
1	100	69	67	.5	1	237.5	237.5	0	christina aguilera	christina aguilera lil kim mya & pnk	495	808
1	100	80	77	.62068963	0	257.6207	257.6207	0	christina aguilera	maroon 5 & christina aguilera	495	2948
1	100	82	78	.64285713	0	260.64285	260.64285	0	christina aguilera	pitbull & christina aguilera	495	3664
1	100	82	78	.64285713	0	260.64285	260.64285	0	christina aguilera	pitbull & christina aguilera	495	3672
1	100	80	71	.54545456	0	251.54546	251.54546	0	coolio	coolio & lv	497	896
1	100	100	100	1	1	302	302	0	crazy town	crazy town	498	917
1	100	100	100	1	1	302	302	0	dmx	dmx	500	1273
1	100	100	100	1	1	302	302	0	daft punk	daft punk	501	973
1	100	82	75	.60000002	0	257.60001	257.60001	0	daft punk	ost & daft punk	501	3477
1	100	100	100	1	1	302	302	0	dave matthews band	dave matthews band	502	1018
1	100	100	100	1	1	302	302	0	dropkick murphys	dropkick murphys	504	1339
1	97	97	97	.9375	1	292.9375	292.9375	0	eagleeye cherry	eagle-eye cherry	505	1360
1	100	87	87	.7647059	0	274.76471	274.76471	0	goo goo dolls	the goo goo dolls	509	4604
1	100	100	100	1	1	302	302	0	green day	green day	510	1853
1	100	78	74	.58333331	1	253.58333	253.58333	0	jennifer lopez	jennifer lopez & pitbull	514	2274
1	100	100	57	1	0	258	258	1	jennifer lopez	lopez jennifer	514	2802
1	100	100	100	1	1	302	302	0	michael jackson	michael jackson	519	3079
1	100	100	100	1	1	302	302	0	natalie imbruglia	natalie imbruglia	522	3267
1	100	100	100	1	1	302	302	0	outkast	outkast	525	3511
1	100	67	64	.47499999	1	232.47501	232.47501	0	stone temple pilots	stone temple pilots & bennington chester	530	4440
1	100	61	61	.44186047	1	223.44186	223.44186	0	stone temple pilots	stone temple pilots with chester bennington	530	4441
1	100	100	100	1	1	302	302	0	ub40	ub40	532	4822
1	100	100	100	1	1	302	302	0	warren g	warren g	534	4966
1	100	100	100	1	1	302	302	0	europe	europe	539	1478
1	100	100	100	1	1	302	302	0	whigfield	whigfield	561	5012
1	100	100	100	1	1	302	302	0	fragma	fragma	580	1645
1	100	100	100	1	1	302	302	0	soulsearcher	soulsearcher	646	4344
1	100	81	76	.6111111	0	257.61111	257.61111	0	mellow trax	mellow trax & lyck	668	3048
1	100	100	100	1	1	302	302	0	2 unlimited	2 unlimited	683	12
1	100	100	100	1	1	302	302	0	la bouche	la bouche	717	2630
1	100	100	100	1	1	302	302	0	lena	lena	719	2711
1	100	100	100	1	1	302	302	0	pet shop boys	pet shop boys	768	3607
1	100	100	100	1	1	302	302	0	kool & the gang	kool & the gang	777	2582
1	100	100	100	1	1	302	302	0	bad religion	bad religion	779	317
1	100	100	100	1	1	302	302	0	van halen	van halen	782	4866
1	100	100	50	1	0	251	251	1	lou bega	bega lou	784	395
1	100	100	100	1	1	302	302	0	lou bega	lou bega	784	2815
1	100	100	100	1	1	302	302	0	britney spears	britney spears	791	608
1	100	70	67	.5	0	237.5	237.5	0	britney spears	miley cyrus & britney spears	791	3109
1	100	100	50	1	0	251	251	1	britney spears	spears britney	791	4355
1	100	100	50	1	0	251	251	1	britney spears	spears britney	791	4356
1	100	78	74	.58333331	0	252.58333	252.58333	0	britney spears	william & britney spears	791	5044
1	100	100	100	1	1	302	302	0	donna summer	donna summer	792	1292
1	100	100	50	1	0	251	251	1	donna summer	summer donna	792	4473
1	100	100	100	1	1	302	302	0	pretenders	pretenders	803	3725
1	100	100	100	1	1	302	302	0	all saints	all saints	805	122
1	100	100	100	1	1	302	302	0	simply red	simply red	808	4246
1	100	100	100	1	1	302	302	0	take that	take that	809	4523
1	100	100	100	1	1	302	302	0	eros ramazzotti	eros ramazzotti	810	1464
1	100	75	71	.55555558	1	247.55556	247.55556	0	eros ramazzotti	eros ramazzotti & anastacia	810	1465
1	100	100	67	1	0	268	268	1	eros ramazzotti	ramazzotti eros	810	3811
1	100	71	45	.51724136	0	216.51724	216.51724	0	eros ramazzotti	ramazzotti eros & ricky marti	810	3812
1	100	100	67	1	0	268	268	1	eros ramazzotti	ramazzotti eros	810	3813
1	100	100	100	1	1	302	302	0	bruce springsteen	bruce springsteen	813	621
1	100	100	65	1	0	266	266	1	bruce springsteen	springsteen bruce	813	4373
1	100	100	65	1	0	266	266	1	bruce springsteen	springsteen bruce	813	4374
1	100	77	48	.58620691	0	225.58621	225.58621	0	bruce springsteen	springsteen bruce & road trip	813	4377
1	100	100	100	1	1	302	302	0	john lennon	john lennon	815	2308
1	100	100	100	1	1	302	302	0	lighthouse family	lighthouse family	816	2747
1	100	100	62	1	0	263	263	1	mike oldfield	oldfield mike	817	3431
1	100	100	100	1	1	302	302	0	eric carmen	eric carmen	819	1456
1	100	100	100	1	1	302	302	0	manfred mann	manfred mann	820	2906
1	100	100	58	1	0	259	259	1	manfred mann	mann manfred	820	2911
1	100	100	60	1	0	261	261	1	the police	police the	822	3699
1	100	77	71	.55555558	0	248.55556	248.55556	0	the police	sting & the police	822	4433
1	100	100	100	1	1	302	302	0	the police	the police	822	4627
1	100	100	100	1	1	302	302	0	lynyrd skynyrd	lynyrd skynyrd	824	2850
1	100	100	78	1	0	279	279	1	the rolling stones	rolling stones the	825	3942
1	100	100	100	1	1	302	302	0	the rolling stones	the rolling stones	825	4637
1	100	100	100	1	1	302	302	0	village people	village people	827	4910
1	100	100	100	1	1	302	302	0	the proclaimers	the proclaimers	829	4628
1	100	100	100	1	1	302	302	0	new order	new order	846	3326
1	100	100	100	1	1	302	302	0	scooter	scooter	876	4122
1	100	52	52	.34999999	0	204.35001	204.35001	0	scooter	scooter vsstatus quo	876	4125
1	100	48	48	.31818181	0	196.31818	196.31818	0	scooter	sidos hands on scooter	876	4230
1	100	100	100	1	1	302	302	0	faithless	faithless	900	1505
1	100	100	100	1	1	302	302	0	seal	seal	906	4134
1	100	100	100	1	1	302	302	0	abba	abba	910	39
1	100	68	65	.48148149	1	234.48148	234.48148	0	groove armada	groove armada & gramma funk	913	1866
1	100	100	100	1	1	302	302	0	rush	rush	918	3987
1	100	100	100	1	1	302	302	0	tricky	tricky	922	4775
1	100	100	67	1	0	268	268	1	van morrison	morrison van	924	3187
1	100	100	100	1	1	302	302	0	van morrison	van morrison	924	4867
1	100	100	50	1	0	251	251	1	the cure	cure the	926	948
1	100	100	100	1	1	302	302	0	the cure	the cure	926	4590
1	100	100	100	1	1	302	302	0	monster magnet	monster magnet	932	3170
1	100	100	100	1	1	302	302	0	ben folds five	ben folds five	935	406
1	100	100	58	1	0	259	259	1	eric clapton	clapton eric	938	833
1	100	100	100	1	1	302	302	0	eric clapton	eric clapton	938	1457
1	100	71	63	.46153846	0	234.46153	234.46153	0	eminem	akon & eminem	946	82
1	100	100	100	1	1	302	302	0	eminem	eminem	946	1426
1	100	71	63	.46153846	0	234.46153	234.46153	0	eminem	eminem & dido	946	1427
1	100	100	100	1	1	302	302	0	counting crows	counting crows	953	909
1	100	100	45	1	0	246	246	1	david bowie	bowie david	956	574
1	100	100	100	1	1	302	302	0	david bowie	david bowie	956	1021
1	100	79	73	.57894737	0	252.57895	252.57895	0	david bowie	queen & david bowie	956	3780
1	100	100	100	1	1	302	302	0	fugees	fugees	957	1705
1	100	100	100	1	1	302	302	0	marvin gaye	marvin gaye	962	2975
1	100	100	100	1	1	302	302	0	morcheeba	morcheeba	963	3181
1	100	100	100	1	1	302	302	0	neil young	neil young	964	3288
1	100	100	100	1	1	302	302	0	members of mayday	members of mayday	969	3054
1	100	100	50	1	0	251	251	1	shania twain	twain shania	973	4802
1	100	100	53	1	0	254	254	1	loreena mckennitt	mckennitt loreena	977	3031
1	100	100	47	1	0	248	248	1	whitney houston	houston whitney	979	2079
1	100	100	47	1	0	248	248	1	whitney houston	houston whitney	979	2080
1	100	70	67	.5	0	237.5	237.5	0	whitney houston	mariah carey & whitney houston	979	2922
1	100	100	100	1	1	302	302	0	whitney houston	whitney houston	979	5023
1	100	100	100	1	1	302	302	0	sting	sting	983	4432
1	100	100	100	1	1	302	302	0	billy idol	billy idol	985	457
1	100	100	50	1	0	251	251	1	billy idol	idol billy	985	2132
1	100	100	100	1	1	302	302	0	bee gees	bee gees	991	390
1	100	64	59	.42105263	0	223.42105	223.42105	0	haddaway	dr alban & haddaway	994	1309
1	100	100	100	1	1	302	302	0	haddaway	haddaway	994	1910
1	100	100	100	1	1	302	302	0	don henley	don henley	997	1286
1	100	100	100	1	1	302	302	0	jamiroquai	jamiroquai	998	2218
1	100	100	100	1	1	302	302	0	tool	tool	1000	4747
1	100	71	67	.5	0	238.5	238.5	0	wyclef jean	flo rida & wyclef jean	1001	1605
1	100	100	55	1	0	256	256	1	wyclef jean	jean wyclef	1001	2265
1	100	73	69	.52380955	0	242.5238	242.5238	0	wyclef jean	shakira & wyclef jean	1001	4184
1	100	100	100	1	1	302	302	0	faith no more	faith no more	1005	1502
1	100	100	100	1	1	302	302	0	filter	filter	1007	1563
1	100	100	100	1	1	302	302	0	staind	staind	1014	4391
1	100	100	100	1	1	302	302	0	ludwig van beethoven	ludwig van beethoven	1021	2831
1	100	100	100	1	1	302	302	0	bjrk	bjrk	1022	471
1	100	100	100	1	1	302	302	0	bjrk	bjrk	1022	472
1	100	100	100	1	1	302	302	0	rainbow	rainbow	1035	3807
1	100	71	67	.5	0	238.5	238.5	0	leann rimes	bon jovi & leann rimes	1049	545
1	100	100	63	1	0	264	264	1	andrew lloyd webber	lloyd webber andrew	1051	2788
1	100	100	100	1	1	302	302	0	travis	travis	1064	4771
1	100	100	44	1	0	245	245	1	manu chao	chao manu	1077	765
1	100	100	100	1	1	302	302	0	megadeth	megadeth	1104	3038
1	100	100	100	1	1	302	302	0	john denver	john denver	1121	2302
1	89	80	77	.74074072	0	246.74074	246.74074	0	the bellamy brothers	dj oetzi & bellamy brothers	1124	1256
1	100	100	100	1	1	302	302	0	the bellamy brothers	the bellamy brothers	1124	4579
1	100	100	100	1	1	302	302	0	mazzy star	mazzy star	1126	3022
1	100	100	100	1	1	302	302	0	barry white	barry white	1127	347
1	100	100	58	1	0	259	259	1	suzanne vega	vega suzanne	1132	4889
1	100	100	71	1	0	272	272	1	the beach boys	beach boys the	1135	370
1	100	100	100	1	1	302	302	0	duran duran	duran duran	1146	1349
1	100	100	100	1	1	302	302	0	falco	falco	1147	1506
1	100	100	60	1	0	261	261	1	the smiths	smiths the	1158	4293
1	100	100	50	1	0	251	251	1	alison moyet	moyet alison	1160	3201
1	100	100	100	1	1	302	302	0	barbra streisand	barbra streisand	1165	336
1	100	100	56	1	0	257	257	1	barbra streisand	streisand barbra	1165	4449
1	100	100	56	1	0	257	257	1	barbra streisand	streisand barbra	1165	4450
1	100	100	100	1	1	302	302	0	tenacious d	tenacious d	1179	4546
1	100	100	100	1	1	302	302	0	wilco	wilco	1181	5032
1	100	100	100	1	1	302	302	0	gloria gaynor	gloria gaynor	1193	1814
1	100	100	69	1	0	270	270	1	the waterboys	waterboys the	1194	4972
1	100	100	100	1	1	302	302	0	joni mitchell	joni mitchell	1218	2333
1	100	100	100	1	1	302	302	0	sarah mclachlan	sarah mclachlan	1224	4050
1	100	100	100	1	1	302	302	0	pulsedriver	pulsedriver	1273	3763
1	100	100	100	1	1	302	302	0	sasha	sasha	1302	4055
1	100	100	100	1	1	302	302	0	soft cell	soft cell	1324	4313
1	100	56	56	.3888889	0	212.38889	212.38889	0	shakira	beyonc and shakira	1332	441
1	100	100	100	1	1	302	302	0	shakira	shakira	1332	4181
1	100	100	100	1	1	302	302	0	peter gabriel	peter gabriel	1343	3614
1	100	100	67	.71428573	1	268.71429	268.71429	0	ac/dc	ac & dc	1352	46
1	100	100	80	1	1	282	282	1	ac/dc	ac-dc	1352	47
1	100	100	100	1	1	302	302	0	skunk anansie	skunk anansie	1373	4278
1	100	100	100	1	1	302	302	0	slipknot	slipknot	1374	4280
1	100	100	100	1	1	302	302	0	black sabbath	black sabbath	1419	480
1	100	100	100	1	1	302	302	0	foreigner	foreigner	1436	1635
1	100	100	100	1	1	302	302	0	frankie goes to hollywood	frankie goes to hollywood	1437	1657
1	100	100	100	1	1	302	302	0	guns n roses	guns n roses	1440	1894
1	96	96	96	.91666669	1	289.91666	289.91666	0	guns n roses	guns nroses	1440	1895
1	100	100	100	1	1	302	302	0	peter schilling	peter schilling	1442	3619
1	100	100	100	1	1	302	302	0	dio	dio	1443	1193
1	100	100	100	1	1	302	302	0	vnv nation	vnv nation	1444	4927
1	100	100	100	1	1	302	302	0	apoptygma berzerk	apoptygma berzerk	1455	215
1	100	100	100	1	1	302	302	0	wheatus	wheatus	1456	5011
1	100	100	100	1	1	302	302	0	millencolin	millencolin	1457	3116
1	100	100	100	1	1	302	302	0	nofx	nofx	1458	3370
1	100	100	100	1	1	302	302	0	aretha franklin	aretha franklin	1460	223
1	100	70	67	.5	1	238.5	238.5	0	aretha franklin	aretha franklin & otis redding	1460	224
1	100	100	53	1	0	254	254	1	aretha franklin	franklin aretha	1460	1658
1	100	100	54	1	0	255	255	1	tracy chapman	chapman tracy	1477	767
1	100	100	100	1	1	302	302	0	tracy chapman	tracy chapman	1477	4768
1	100	100	100	1	1	302	302	0	genesis	genesis	1492	1762
1	100	100	100	1	1	302	302	0	elvis costello	elvis costello	1517	1416
1	100	100	100	1	1	302	302	0	grateful dead	grateful dead	1528	1848
1	100	100	100	1	1	302	302	0	elvis presley	elvis presley	1539	1418
1	100	72	72	.56521738	1	245.56522	245.56522	0	elvis presley	elvis presley vsspankox	1539	1419
1	100	100	54	1	0	255	255	1	elvis presley	presley elvis	1539	3723
1	100	100	54	1	0	255	255	1	elvis presley	presley elvis	1539	3724
1	100	100	100	1	1	302	302	0	craig david	craig david	1559	913
1	100	100	100	1	1	302	302	0	bloodhound gang	bloodhound gang	1560	506
1	100	100	100	1	1	302	302	0	kelis	kelis	1583	2479
1	100	100	100	1	1	302	302	0	deep purple	deep purple	1587	1075
1	100	100	100	1	1	302	302	0	scorpions	scorpions	1605	4126
1	100	100	100	1	1	302	302	0	billy ray cyrus	billy ray cyrus	1606	460
1	100	100	60	1	0	261	261	1	billy ray cyrus	cyrus billy ray	1606	956
1	100	100	100	1	1	302	302	0	dolly parton	dolly parton	1607	1278
1	100	57	57	.40000001	1	215.39999	215.39999	0	dolly parton	dolly parton with kenny rogers	1607	1279
1	100	100	50	1	0	251	251	1	dolly parton	parton dolly	1607	3561
1	100	100	50	1	0	251	251	1	dolly parton	parton dolly	1607	3562
1	100	100	100	1	1	302	302	0	tina turner	tina turner	1616	4711
1	100	100	55	1	0	256	256	1	tina turner	turner tina	1616	4798
1	100	100	100	1	1	302	302	0	the roots	the roots	1624	4638
1	100	100	100	1	1	302	302	0	james brown	james brown	1629	2212
0	100	18	18	.1	0	136.10001	136.10001	0	war	es war einmaldas leben set 1-6	1631	1468
1	100	100	100	1	1	302	302	0	war	war	1631	4960
1	100	100	100	1	1	302	302	0	john hiatt	john hiatt	1637	2304
1	100	100	53	1	0	254	254	1	melissa etheridge	etheridge melissa	1640	1477
1	100	100	100	1	1	302	302	0	melissa etheridge	melissa etheridge	1640	3047
1	100	100	50	1	0	251	251	1	emmylou harris	harris emmylou	1644	1961
1	100	100	100	1	1	302	302	0	journey	journey	1658	2344
1	100	100	100	1	1	302	302	0	judas priest	judas priest	1660	2349
1	100	100	100	1	1	302	302	0	al green	al green	1677	85
1	100	100	100	1	1	302	302	0	marc anthony	marc anthony	1684	2914
1	100	75	71	.54545456	0	246.54546	246.54546	0	marc anthony	pitbull & marc anthony	1684	3673
1	100	100	100	1	1	302	302	0	yello	yello	1686	5123
1	100	89	89	.80000001	0	278.79999	278.79999	0	the sisters of mercy	sisters of mercy	1693	4263
1	100	100	80	1	0	281	281	1	the sisters of mercy	sisters of mercy the	1693	4264
1	100	100	100	1	1	302	302	0	steppenwolf	steppenwolf	1699	4416
